"DATE & TIME","USER NAME","EVENT","TARGET NAME","PROJECT NAME"
"2026-01-13T21:54:01.053Z","ross_domino","Add Policy to Governance Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T21:53:45.895Z","ross_domino","View Repo File","","CDISC01_CSR"
"2026-01-13T21:53:38.243Z","ross_domino","Change Governance Policy Status","TFL QC Plan - High Risk",""
"2026-01-13T21:53:38.139Z","ross_domino","Update Governance Policy Definition","TFL QC Plan - High Risk",""
"2026-01-13T21:53:37.516Z","ross_domino","Update Governance Policy Definition","TFL QC Plan - High Risk",""
"2026-01-13T21:51:47.327Z","ross_domino","Update Governance Policy Definition","TFL QC Plan - High Risk",""
"2026-01-13T21:51:10.121Z","agnes_domino","Synchronize working directory","","CDISC01_CSR"
"2026-01-13T21:51:03.941Z","agnes_domino","Synchronize working directory","","CDISC01_CSR"
"2026-01-13T21:50:52.633Z","ross_domino","Create Governance Policy","TFL QC Plan - High Risk",""
"2026-01-13T21:50:11.650Z","ross_domino","Change Governance Policy Status","ADaM QC Plan - High Risk",""
"2026-01-13T21:50:11.551Z","ross_domino","Update Governance Policy Definition","ADaM QC Plan - High Risk",""
"2026-01-13T21:50:10.769Z","ross_domino","Update Governance Policy Definition","ADaM QC Plan - High Risk",""
